NAME,TEAM,POS,FPTSPG,TOTFPTS
Patrick Mahomes,KC,QB,21.7,347.6
Deshaun Watson,HOU,QB,19.8,316.2
Aaron Rodgers,GB,QB,18.9,303.1
Matt Ryan,ATL,QB,18.7,299.1
Carson Wentz,PHI,QB,18.6,297.5
Baker Mayfield,CLE,QB,18.5,295.9
Jared Goff,LAR,QB,18.4,294
Cam Newton,CAR,QB,18.3,293.6
Drew Brees,NO,QB,18.3,292.8
Russell Wilson,SEA,QB,18.3,292.8
Jameis Winston,TB,QB,18.1,289.4
Dak Prescott,DAL,QB,17.9,286.7
Tom Brady,NE,QB,17.6,282.1
Lamar Jackson,BAL,QB,17.5,280.7
Mitchell Trubisky,CHI,QB,17.5,280.5
Kyler Murray,ARI,QB,17.5,279.2
Ben Roethlisberger,PIT,QB,17.4,278.1
Philip Rivers,LAC,QB,17.3,276.1
Kirk Cousins,MIN,QB,16.5,263.7
Josh Allen,BUF,QB,16.5,263.6
Jimmy Garoppolo,SF,QB,16.1,258.2
Jacoby Brissett,IND,QB,15.8,252.3
Andy Dalton,CIN,QB,15.4,246.6
Derek Carr,LV,QB,15.2,242.7
Matthew Stafford,DET,QB,15,240.7
Sam Darnold,NYJ,QB,14.8,236.5
Marcus Mariota,TEN,QB,14.5,232
Nick Foles,JAX,QB,13.7,219.3
Joe Flacco,DEN,QB,12.9,206.5
Eli Manning,NYG,QB,10.8,172.9
Ryan Fitzpatrick,MIA,QB,10.6,169.8
Case Keenum,WAS,QB,7.3,116.6
Dwayne Haskins,WAS,QB,7.2,114.5
Daniel Jones,NYG,QB,3.8,60.4
Josh Rosen,MIA,QB,3.2,51
C.J. Beathard,SF,QB,1.8,28.8
Taysom Hill,NO,QB,1.5,23.9
Blake Bortles,LAR,QB,1.3,21.6
AJ McCarron,HOU,QB,1.3,21.1
Nate Sudfeld,PHI,QB,1.3,20.7
Chad Kelly,IND,QB,1.2,18.4
Ryan Tannehill,TEN,QB,1.1,17.9
Blaine Gabbert,TB,QB,1.1,17.3
Drew Lock,DEN,QB,1,16.6
DeShone Kizer,LV,QB,1,15.2
Matt Moore,KC,QB,0.9,15
Ryan Finley,CIN,QB,0.9,14.4
Robert Griffin III,BAL,QB,0.9,13.9
Nick Mullens,SF,QB,0.8,13.2
Jeff Driskel,CIN,QB,0.8,12.4
Alex Smith,WAS,QB,0.8,12.2
Gardner Minshew II,JAX,QB,0.8,12.1
Brett Hundley,ARI,QB,0.8,12.1
Tyrod Taylor,LAC,QB,0.7,11.7
Colt McCoy,WAS,QB,0.7,11.7
Tim Boyle,GB,QB,0.7,11.6
Drew Stanton,CLE,QB,0.7,10.9
Trevor Siemian,NYJ,QB,0.7,10.7
Will Grier,CAR,QB,0.7,10.6
Teddy Bridgewater,NO,QB,0.6,10
Mason Rudolph,PIT,QB,0.6,9.8
Matt Barkley,BUF,QB,0.6,9.6
Kyle Allen,CAR,QB,0.6,9.5
Mike Glennon,LV,QB,0.6,8.8
Chase Daniel,CHI,QB,0.5,7.8
Josh McCown,PHI,QB,0.5,7.8
Matt Schaub,ATL,QB,0.4,6.5
Joshua Dobbs,PIT,QB,0.4,6.1
Brandon Allen,DEN,QB,0.4,5.8
Jarrett Stidham,NE,QB,0.2,3.6
Sean Mannion,MIN,QB,0.2,3
Cooper Rush,DAL,QB,0.2,2.9
Geno Smith,SEA,QB,0.1,1.9
Josh Johnson,DET,QB,0.1,1.6
Trace McSorley,BAL,QB,0.1,1.6
Brian Hoyer,IND,QB,0,0.1
Garrett Gilbert,CLE,QB,0,0
